slug,player_id,height_cm,weight_kg,first_serve_perc,first_serve_points_won_perc,second_serve_points_won_perc,first_serve_return_points_won_perc,second_serve_return_points_won_perc,break_points_saved_perc,break_points_converted_perc,service_games_won_perc,service_points_won_perc,return_games_won_perc,return_points_won_perc
f324,roger-federer,185,85,62,77,57,33,51,67,41,89,70,27,40
n409,rafael-nadal,185,85,68,72,57,34,55,67,45,86,67,34,42
d643,novak-djokovic,188,77,65,74,56,34,55,65,44,86,67,32,42
f401,david-ferrer,175,73,63,69,52,33,55,60,44,78,63,31,42
mc10,andy-murray,191,82,58,74,52,33,55,63,44,82,65,32,42
a092,andre-agassi,180,80,63,73,54,32,56,65,43,84,66,32,42
s402,pete-sampras,185,77,59,81,53,29,51,68,41,89,69,24,38
ba47,tomas-berdych,196,91,58,77,52,29,52,64,42,84,67,24,38
r485,andy-roddick,188,88,65,79,56,27,49,68,39,90,71,20,36
h432,lleyton-hewitt,178,77,54,74,53,32,54,62,43,80,64,30,41
k267,yevgeny-kafelnikov,191,84,56,73,51,30,53,61,43,79,63,28,40
h355,tommy-haas,188,84,58,74,52,29,50,62,40,82,65,23,38
v306,fernando-verdasco,188,90,67,71,51,31,51,63,40,81,64,24,38
r419,tommy-robredo,180,75,65,69,52,31,51,61,41,78,63,25,39
m605,carlos-moya,191,86,59,72,52,31,51,63,40,80,63,25,39
g628,richard-gasquet,183,79,62,73,53,30,51,61,41,82,65,25,38
c274,michael-chang,175,73,56,72,53,32,55,60,44,79,63,32,42
y061,mikhail-youzhny,183,73,61,69,51,30,51,60,41,77,62,25,39
w367,stan-wawrinka,183,81,58,74,54,30,49,64,39,83,65,23,38
l397,feliciano-lopez,188,88,59,76,52,26,44,66,35,84,66,15,33
c977,marin-cilic,198,89,57,77,53,30,50,64,39,84,66,23,38
f196,wayne-ferreira,185,85,55,74,50,30,51,61,40,80,64,24,39
sd32,gilles-simon,183,70,57,70,52,31,53,60,42,76,62,27,40
mc65,gael-monfils,193,85,62,73,50,32,49,62,41,81,64,25,39
d402,nikolay-davydenko,178,72,67,68,51,33,53,60,44,77,63,30,41
f316,juan-carlos-ferrero,183,73,64,69,54,31,52,63,40,80,64,27,40
h336,tim-henman,185,77,58,74,51,32,50,63,41,81,64,26,39
i034,goran-ivanisevic,193,82,55,82,50,26,49,66,40,86,68,19,35
t786,jo-wilfried-tsonga,188,93,62,78,53,29,47,67,40,87,68,20,36
k435,philipp-kohlschreiber,178,70,60,72,54,29,50,63,40,82,65,22,37
s424,fabrice-santoro,178,74,58,67,51,32,52,59,41,73,60,27,40
d683,juan-martin-del-potro,198,97,64,74,53,30,52,64,42,85,67,26,39
m099,thomas-muster,180,77,62,69,54,32,55,63,45,80,63,32,42
n552,kei-nishikori,178,73,61,71,53,31,53,61,41,80,64,27,40
i186,john-isner,208,108,69,79,56,23,42,71,30,92,72,10,30
e113,thomas-enqvist,191,88,55,76,49,29,53,60,41,80,64,26,39
c344,alex-corretja,180,73,57,69,52,32,52,60,42,77,62,29,41
s694,radek-stepanek,185,76,62,73,51,30,50,62,40,81,64,23,38
l360,ivan-ljubicic,193,92,58,77,52,27,47,65,37,85,67,18,35
r237,greg-rusedski,193,91,58,80,52,26,47,66,37,87,68,17,35
k214,richard-krajicek,196,95,58,81,51,29,49,66,39,87,69,21,37
b446,jonas-bjorkman,183,83,58,70,49,30,54,60,40,75,61,27,40
s741,marat-safin,193,88,55,75,52,29,50,63,39,82,65,22,38
a479,nicolas-almagro,183,86,58,75,53,29,50,62,39,83,66,22,37
n289,jarkko-nieminen,185,78,65,68,50,30,52,60,42,76,62,25,38
sa93,andreas-seppi,191,78,58,71,50,29,50,60,40,76,62,23,38
k336,ivo-karlovic,211,104,66,83,53,21,40,71,30,92,73,9,28
c243,jim-courier,185,83,62,74,53,30,53,64,43,84,66,26,39
f510,fabio-fognini,178,79,59,68,48,32,51,57,43,72,60,27,39
m442,todd-martin,198,91,62,76,51,28,52,64,40,84,66,22,38
a678,kevin-anderson,203,94,65,77,53,26,47,66,36,87,68,16,34
q927,sam-querrey,198,95,59,79,50,27,47,63,38,85,67,18,34
c252,francisco-clavet,183,71,64,65,52,32,54,58,43,73,60,29,41
r286,marcelo-rios,175,73,58,71,53,31,53,61,42,79,64,29,41
c378,albert-costa,180,78,67,68,52,31,52,60,41,78,62,27,40
p226,cedric-pioline,188,79,57,74,49,29,51,61,40,79,63,24,38
n301,david-nalbandian,180,79,59,69,52,32,55,59,44,77,62,30,41
m762,jurgen-melzer,183,80,61,70,51,30,48,60,40,78,62,23,37
r214,marc-rosset,201,88,56,79,47,28,49,62,38,82,65,20,36
b676,james-blake,185,83,58,73,51,30,51,61,42,80,64,25,39
b350,sergi-bruguera,188,76,59,70,51,33,54,59,45,76,62,31,42
k316,nicolas-kiefer,183,80,53,75,49,30,51,60,43,78,63,25,39
r975,milos-raonic,196,98,63,81,55,27,46,70,36,91,72,16,34
h377,dominik-hrbaty,183,79,57,71,50,30,52,60,42,76,62,26,39
g476,guillermo-garcia-lopez,185,80,59,69,49,30,50,59,40,74,61,23,38
m850,paul-henri-mathieu,185,74,55,72,52,28,50,60,40,78,63,21,37
s636,rainer-schuettler,180,74,59,68,51,31,51,58,42,74,61,26,39
b837,marcos-baghdatis,178,82,53,75,52,29,50,60,40,80,64,23,38
ma21,juan-monaco,185,81,68,65,53,33,52,57,43,74,61,29,41
j129,thomas-johansson,180,80,53,76,51,27,50,62,41,81,64,22,37
g415,fernando-gonzalez,183,82,61,74,51,30,50,64,40,83,65,22,37
k293,gustavo-kuerten,191,83,55,76,52,29,51,63,41,82,65,24,38
bd06,roberto-bautista-agut,183,75,66,70,54,31,53,62,42,80,64,26,39
r255,patrick-rafter,185,86,62,76,52,29,50,64,40,85,67,23,38
g379,sebastien-grosjean,175,73,56,72,52,31,52,61,42,79,63,27,40
k148,petr-korda,0,86,59,72,48,32,53,61,41,78,62,28,41
c487,arnaud-clement,173,74,57,71,50,28,52,59,39,76,62,23,38
d875,grigor-dimitrov,191,81,62,75,51,29,49,63,38,83,66,22,37
e004,stefan-edberg,188,77,62,73,52,33,53,64,43,83,65,30,41
c514,juan-ignacio-chela,191,75,60,68,50,33,51,58,43,74,61,28,41
n254,jiri-novak,191,86,65,68,50,31,53,60,43,76,62,28,40
s544,vincent-spadea,183,77,58,68,51,30,52,60,42,74,61,25,39
g182,magnus-gustafsson,185,78,65,68,50,34,52,60,43,76,62,30,41
b747,julien-benneteau,185,79,64,69,49,29,50,59,39,76,62,22,37
t840,viktor-troicki,193,86,61,72,47,30,49,60,41,77,63,23,38
m535,felix-mantilla,180,78,62,67,51,31,54,59,45,75,61,29,40
ca12,jeremy-chardy,188,75,60,74,50,27,48,63,37,81,65,19,35
m680,xavier-malisse,185,83,57,73,51,30,50,60,41,78,64,24,38
l290,nicolas-lapentti,188,86,60,70,48,30,50,59,39,75,62,24,38
