1990-7308,1,,Adelaide,7308,adelaide,Adelaide,1990.01.01,1990,Outdoor,Hard
1990-354,2,,Wellington,354,wellington,Wellington,1990.01.01,1990,Outdoor,Hard
1990-338,3,,Sydney Outdoor,338,sydney,Sydney,1990.01.08,1990,Outdoor,Hard
1990-301,4,,Auckland,301,auckland,Auckland,1990.01.08,1990,Outdoor,Hard
1990-580,5,Grand Slam,Australian Open,580,australian-open,Melbourne,1990.01.15,1990,Outdoor,Hard
1990-408,6,,Milan,408,milan,Milan,1990.02.05,1990,Indoor,Carpet
1990-424,7,,San Francisco,424,san-francisco,San Francisco,1990.02.05,1990,Indoor,Carpet
1990-201,8,,Guaruja,201,guaruja,Guaruja,1990.02.05,1990,Outdoor,Hard
1990-302,9,,Toronto Indoor,302,toronto,Toronto,1990.02.12,1990,Indoor,Carpet
1990-406,10,,Brussels,406,brussels,Brussels,1990.02.12,1990,Indoor,Carpet
1990-401,11,,Philadelphia,401,philadelphia,Philadelphia,1990.02.19,1990,Indoor,Carpet
1990-357,12,,Stuttgart Indoor,357,stuttgart,Stuttgart,1990.02.19,1990,Indoor,Carpet
1990-407,13,,Rotterdam,407,rotterdam,Rotterdam,1990.02.26,1990,Indoor,Carpet
1990-402,14,,Memphis,402,memphis,Memphis,1990.02.26,1990,Indoor,Hard
1990-404,15,Masters 1000,ATP Masters 1000 Indian Wells,404,indian-wells,Indian Wells,1990.03.05,1990,Outdoor,Hard
1990-360,16,,Casablanca,360,casablanca,Casablanca,1990.03.05,1990,Outdoor,Clay
1990-403,17,Masters 1000,ATP Masters 1000 Miami,403,miami,Miami,1990.03.16,1990,Outdoor,Hard
1990-468,18,,Estoril,468,estoril,Estoril,1990.04.02,1990,Outdoor,Clay
1990-409,19,,Orlando,409,orlando,Orlando,1990.04.02,1990,Outdoor,Hard
1990-215,20,,Rio De Janeiro,215,rio-de-janeiro,Rio De Janeiro,1990.04.02,1990,Outdoor,Carpet
1990-329,21,,Tokyo Outdoor,329,tokyo,Tokyo,1990.04.09,1990,Outdoor,Hard
1990-425,22,,Barcelona,425,barcelona,Barcelona,1990.04.09,1990,Outdoor,Clay
1990-6120,23,,Nice,6120,nice,Nice,1990.04.16,1990,Outdoor,Clay
1990-434,24,,Seoul,434,seoul,Seoul,1990.04.16,1990,Outdoor,Hard
1990-410,25,Masters 1000,ATP Masters 1000 Monte Carlo,410,monte-carlo,Monte Carlo,1990.04.23,1990,Outdoor,Clay
1990-336,26,,Hong Kong,336,hong-kong,Hong Kong,1990.04.23,1990,Outdoor,Hard
1990-309,27,,Madrid,309,madrid,Madrid,1990.04.30,1990,Outdoor,Clay
1990-308,28,,Munich,308,munich,Munich,1990.04.30,1990,Outdoor,Clay
1990-456,29,,Singapore,456,singapore,Singapore,1990.04.30,1990,Outdoor,Hard
1990-414,30,Masters 1000,ATP Masters 1000 Hamburg,414,hamburg,Hamburg,1990.05.07,1990,Outdoor,Clay
1990-717,31,,Kiawah Island,717,kiawah-island,Kiawah Island,1990.05.07,1990,Outdoor,Clay
1990-416,32,Masters 1000,ATP Masters 1000 Rome,416,rome,Rome,1990.05.14,1990,Outdoor,Clay
1990-439,33,,Umag,439,umag,Umag,1990.05.14,1990,Outdoor,Clay
1990-615,34,,World Team Cup,615,dusseldorf,Dusseldorf,1990.05.21,1990,Outdoor,Clay
1990-312,35,,Bologna,312,bologna,Bologna,1990.05.21,1990,Outdoor,Clay
1990-520,36,Grand Slam,Roland Garros,520,roland-garros,Paris,1990.05.28,1990,Outdoor,Clay
1990-311,37,,London / Queen's Club,311,london,London,1990.06.11,1990,Outdoor,Grass
1990-310,38,,Florence,310,florence,Florence,1990.06.11,1990,Outdoor,Clay
1990-440,39,,Rosmalen,440,rosmalen,Rosmalen,1990.06.11,1990,Outdoor,Grass
1990-306,40,,Genova,306,genova,Genova,1990.06.18,1990,Outdoor,Clay
1990-7310,41,,Manchester,7310,manchester,Manchester,1990.06.18,1990,Outdoor,Grass
1990-540,42,Grand Slam,Wimbledon,540,wimbledon,London,1990.06.25,1990,Outdoor,Grass
1990-314,43,,Gstaad,314,gstaad,Gstaad,1990.07.09,1990,Outdoor,Clay
1990-316,44,,Bastad,316,bastad,Bastad,1990.07.09,1990,Outdoor,Clay
1990-315,45,,Newport,315,newport,Newport,1990.07.09,1990,Outdoor,Grass
1990-321,46,,Stuttgart Outdoor,321,stuttgart,Stuttgart,1990.07.16,1990,Outdoor,Clay
1990-418,47,,Washington,418,washington,Washington,1990.07.16,1990,Outdoor,Hard
1990-421,48,Masters 1000,ATP Masters 1000 Canada,421,toronto,Toronto,1990.07.23,1990,Outdoor,Hard
1990-317,49,,Hilversum,317,hilversum,Hilversum,1990.07.23,1990,Outdoor,Clay
1990-319,50,,Kitzbuhel,319,kitzbuhel,Kitzbuhel,1990.07.30,1990,Outdoor,Clay
1990-423,51,,Los Angeles,423,los-angeles,Los Angeles,1990.07.30,1990,Outdoor,Hard
1990-366,52,,San Remo,366,san-remo,San Remo,1990.07.30,1990,Outdoor,Clay
1990-422,53,Masters 1000,ATP Masters 1000 Cincinnati,422,cincinnati,Cincinnati,1990.08.06,1990,Outdoor,Hard
1990-379,54,,Prague,379,prague,Prague,1990.08.06,1990,Outdoor,Clay
1990-419,55,,Indianapolis,419,indianapolis,Indianapolis,1990.08.13,1990,Outdoor,Hard
1990-420,56,,New Haven,420,new-haven,New Haven,1990.08.13,1990,Outdoor,Hard
1990-441,57,,Long Island,441,long-island,Long Island,1990.08.20,1990,Outdoor,Hard
1990-475,58,,San Marino,475,san-marino,San Marino,1990.08.20,1990,Outdoor,Clay
1990-224,59,,Schenectady,224,schenectady,Schenectady,1990.08.20,1990,Outdoor,Hard
1990-560,60,Grand Slam,US Open,560,us-open,New York,1990.08.27,1990,Outdoor,Hard
1990-323,61,,Bordeaux,323,bordeaux,Bordeaux,1990.09.10,1990,Outdoor,Clay
1990-322,62,,Geneva,322,geneva,Geneva,1990.09.10,1990,Outdoor,Clay
1990-328,63,,Basel,328,basel,Basel,1990.09.24,1990,Indoor,Hard
1990-325,64,,Palermo,325,palermo,Palermo,1990.09.24,1990,Outdoor,Clay
1990-326,65,,Brisbane,326,brisbane,Brisbane,1990.09.24,1990,Outdoor,Hard
1990-427,66,,Sydney Indoor,427,sydney,Sydney,1990.10.01,1990,Indoor,Hard
1990-327,67,,Toulouse,327,toulouse,Toulouse,1990.10.01,1990,Indoor,Hard
1990-367,68,,Athens,367,athens,Athens,1990.10.01,1990,Outdoor,Clay
1990-428,69,,Tokyo Indoor,428,tokyo,Tokyo,1990.10.08,1990,Indoor,Carpet
1990-348,70,,Berlin,348,berlin,Berlin,1990.10.08,1990,Indoor,Carpet
1990-330,71,,Tel Aviv,330,tel-aviv,Tel Aviv,1990.10.08,1990,Outdoor,Hard
1990-7309,72,,Lyon,7309,lyon,Lyon,1990.10.15,1990,Indoor,Carpet
1990-337,73,,Vienna,337,vienna,Vienna,1990.10.15,1990,Indoor,Carpet
1990-429,74,Masters 1000,ATP Masters 1000 Stockholm,429,stockholm,Stockholm,1990.10.22,1990,Indoor,Carpet
1990-237,75,,Sao Paulo,237,sao-paulo,Sao Paulo,1990.10.22,1990,Outdoor,Carpet
1990-352,76,Masters 1000,ATP Masters 1000 Paris,352,paris,Paris,1990.10.29,1990,Indoor,Carpet
1990-438,77,,Moscow,438,moscow,Moscow,1990.11.05,1990,Indoor,Carpet
1990-430,78,,Wembley,430,wembley,Wembley,1990.11.05,1990,Indoor,Carpet
1990-240,79,,Itaparica,240,itaparica,Itaparica,1990.11.05,1990,Outdoor,Hard
1990-605,80,ATP Finals,ATP Tour World Championship,605,atp-tour-world-championship,,1990.11.12,1990,Indoor,Carpet
1990-602,81,ATP Finals,ATP Tour World Doubles Championship,602,atp-tour-world-doubles-championship,Sanctuary Cove,1990.11.19,1990,Outdoor,Hard
1990-604,82,,Grand Slam Cup,604,munich,"Munich, Germany",1990.12.11,1990,Indoor,Carpet
1991-7308,1,,Adelaide,7308,adelaide,Adelaide,1990.12.31,1991,Outdoor,Hard
1991-354,2,,Wellington,354,wellington,Wellington,1990.12.31,1991,Outdoor,Hard
1991-338,3,,Sydney Outdoor,338,sydney,Sydney,1991.01.07,1991,Outdoor,Hard
1991-301,4,,Auckland,301,auckland,Auckland,1991.01.07,1991,Outdoor,Hard
1991-580,5,Grand Slam,Australian Open,580,australian-open,Melbourne,1991.01.14,1991,Outdoor,Hard
1991-408,6,,Milan,408,milan,Milan,1991.02.04,1991,Indoor,Carpet
1991-424,7,,San Francisco,424,san-francisco,San Francisco,1991.02.04,1991,Indoor,Carpet
1991-201,8,,Guaruja,201,guaruja,Guaruja,1991.02.04,1991,Outdoor,Hard
1991-401,9,,Philadelphia,401,philadelphia,Philadelphia,1991.02.11,1991,Indoor,Carpet
1991-406,10,,Brussels,406,brussels,Brussels,1991.02.11,1991,Indoor,Carpet
1991-357,11,,Stuttgart Indoor,357,stuttgart,Stuttgart,1991.02.18,1991,Indoor,Carpet
1991-402,12,,Memphis,402,memphis,Memphis,1991.02.18,1991,Indoor,Hard
