slug,player_id,height_cm,weight_kg,service_return_games_ratio,service_return_points_ratio,group
f324,roger-federer,185,85,3.2962962962962963,1.7499999999999998,0
n409,rafael-nadal,185,85,2.5294117647058822,1.5952380952380953,0
d643,novak-djokovic,188,77,2.6875,1.5952380952380953,0
f401,david-ferrer,175,73,2.5161290322580645,1.5,0
mc10,andy-murray,191,82,2.5625,1.5476190476190477,0
a092,andre-agassi,180,80,2.625,1.5714285714285716,0
s402,pete-sampras,185,77,3.7083333333333335,1.8157894736842104,0
ba47,tomas-berdych,196,91,3.5,1.7631578947368423,0
r485,andy-roddick,188,88,4.5,1.972222222222222,1
h432,lleyton-hewitt,178,77,2.666666666666667,1.5609756097560976,0
k267,yevgeny-kafelnikov,191,84,2.821428571428571,1.575,0
h355,tommy-haas,188,84,3.5652173913043477,1.7105263157894737,0
v306,fernando-verdasco,188,90,3.3750000000000004,1.6842105263157894,0
r419,tommy-robredo,180,75,3.12,1.6153846153846154,0
m605,carlos-moya,191,86,3.2,1.6153846153846154,0
g628,richard-gasquet,183,79,3.28,1.7105263157894737,0
c274,michael-chang,175,73,2.46875,1.5,0
y061,mikhail-youzhny,183,73,3.08,1.5897435897435896,0
w367,stan-wawrinka,183,81,3.6086956521739126,1.7105263157894737,0
l397,feliciano-lopez,188,88,5.6,2.0,1
c977,marin-cilic,198,89,3.652173913043478,1.736842105263158,0
f196,wayne-ferreira,185,85,3.3333333333333335,1.641025641025641,0
sd32,gilles-simon,183,70,2.814814814814815,1.5499999999999998,0
mc65,gael-monfils,193,85,3.24,1.641025641025641,0
d402,nikolay-davydenko,178,72,2.566666666666667,1.5365853658536586,0
f316,juan-carlos-ferrero,183,73,2.962962962962963,1.5999999999999999,0
h336,tim-henman,185,77,3.1153846153846154,1.641025641025641,0
i034,goran-ivanisevic,193,82,4.526315789473684,1.942857142857143,1
t786,jo-wilfried-tsonga,188,93,4.35,1.888888888888889,1
k435,philipp-kohlschreiber,178,70,3.727272727272727,1.7567567567567568,0
s424,fabrice-santoro,178,74,2.7037037037037033,1.4999999999999998,0
d683,juan-martin-del-potro,198,97,3.269230769230769,1.717948717948718,0
m099,thomas-muster,180,77,2.5,1.5,0
n552,kei-nishikori,178,73,2.962962962962963,1.5999999999999999,0
i186,john-isner,208,108,9.2,2.4,1
e113,thomas-enqvist,191,88,3.076923076923077,1.641025641025641,0
c344,alex-corretja,180,73,2.6551724137931036,1.5121951219512195,0
s694,radek-stepanek,185,76,3.5217391304347827,1.6842105263157894,0
l360,ivan-ljubicic,193,92,4.722222222222222,1.9142857142857146,1
r237,greg-rusedski,193,91,5.117647058823529,1.942857142857143,1
k214,richard-krajicek,196,95,4.142857142857143,1.8648648648648647,0
b446,jonas-bjorkman,183,83,2.7777777777777777,1.525,0
s741,marat-safin,193,88,3.727272727272727,1.7105263157894737,0
a479,nicolas-almagro,183,86,3.7727272727272725,1.783783783783784,0
n289,jarkko-nieminen,185,78,3.04,1.631578947368421,0
sa93,andreas-seppi,191,78,3.3043478260869565,1.631578947368421,0
k336,ivo-karlovic,211,104,10.222222222222223,2.6071428571428568,1
c243,jim-courier,185,83,3.2307692307692304,1.6923076923076923,0
f510,fabio-fognini,178,79,2.6666666666666665,1.5384615384615383,0
m442,todd-martin,198,91,3.818181818181818,1.736842105263158,0
a678,kevin-anderson,203,94,5.4375,2.0,1
q927,sam-querrey,198,95,4.722222222222222,1.9705882352941175,1
c252,francisco-clavet,183,71,2.5172413793103448,1.4634146341463414,0
r286,marcelo-rios,175,73,2.724137931034483,1.5609756097560976,0
c378,albert-costa,180,78,2.888888888888889,1.5499999999999998,0
p226,cedric-pioline,188,79,3.291666666666667,1.6578947368421053,0
n301,david-nalbandian,180,79,2.566666666666667,1.5121951219512195,0
m762,jurgen-melzer,183,80,3.391304347826087,1.6756756756756757,0
r214,marc-rosset,201,88,4.1,1.8055555555555556,0
b676,james-blake,185,83,3.2,1.641025641025641,0
b350,sergi-bruguera,188,76,2.4516129032258065,1.4761904761904763,0
k316,nicolas-kiefer,183,80,3.12,1.6153846153846154,0
r975,milos-raonic,196,98,5.6875,2.117647058823529,1
h377,dominik-hrbaty,183,79,2.923076923076923,1.5897435897435896,0
g476,guillermo-garcia-lopez,185,80,3.2173913043478257,1.6052631578947367,0
m850,paul-henri-mathieu,185,74,3.7142857142857144,1.7027027027027026,0
s636,rainer-schuettler,180,74,2.846153846153846,1.564102564102564,0
b837,marcos-baghdatis,178,82,3.4782608695652173,1.6842105263157894,0
ma21,juan-monaco,185,81,2.5517241379310347,1.4878048780487805,0
j129,thomas-johansson,180,80,3.681818181818182,1.7297297297297298,0
g415,fernando-gonzalez,183,82,3.7727272727272725,1.7567567567567568,0
k293,gustavo-kuerten,191,83,3.4166666666666665,1.7105263157894737,0
bd06,roberto-bautista-agut,183,75,3.076923076923077,1.641025641025641,0
r255,patrick-rafter,185,86,3.695652173913043,1.7631578947368423,0
g379,sebastien-grosjean,175,73,2.925925925925926,1.575,0
k148,petr-korda,0,86,2.7857142857142856,1.5121951219512195,0
c487,arnaud-clement,173,74,3.3043478260869565,1.631578947368421,0
d875,grigor-dimitrov,191,81,3.7727272727272725,1.783783783783784,0
e004,stefan-edberg,188,77,2.7666666666666666,1.5853658536585367,0
c514,juan-ignacio-chela,191,75,2.642857142857143,1.4878048780487805,0
